Input Size,Run Time (ns)
0,1334
1,1295
2,1071
3,1386
4,1569
5,1606
6,1572
7,1698
8,1640
9,1553
10,1732
11,1553
12,1528
13,1954
14,1708
15,1499
16,1923
17,1546
18,1715
19,1906
20,1833
21,1762
22,1728
23,3130
24,4444
